seed,profile,mac_trials,gemm_trials,group_trials,exit_code,pass,fp8_mac_mean,fp4_mac_mean,fp8_gemm_mean,fp4_gemm_mean,group8_mean,group16_mean
100,smoke,120,8,80,0,1,0.00645068,0.0511684,0.0351192,0.244199,0.00687806,0.00679419
100,quality,240,16,160,0,1,0.00628258,0.0483536,0.0352139,0.245385,0.00656979,0.0071112
101,smoke,120,8,80,0,1,0.00642044,0.0483383,0.0358426,0.247287,0.00745609,0.00606688
101,quality,240,16,160,0,1,0.00636637,0.0467043,0.035365,0.240944,0.00657279,0.00735883
102,smoke,120,8,80,0,1,0.00634095,0.0512616,0.0350778,0.255122,0.0074678,0.00604317
102,quality,240,16,160,0,1,0.00656035,0.040853,0.0357314,0.24272,0.00703383,0.00687739
103,smoke,120,8,80,0,1,0.00676918,0.0456093,0.0355463,0.238007,0.00706306,0.006274
103,quality,240,16,160,0,1,0.00674183,0.0522215,0.0356834,0.247056,0.00696035,0.00689014
104,smoke,120,8,80,0,1,0.00741424,0.0455809,0.0358343,0.248967,0.0064011,0.00643762
104,quality,240,16,160,0,1,0.00729541,0.045088,0.034913,0.248552,0.00605041,0.00713467
105,smoke,120,8,80,0,1,0.00699755,0.0491188,0.0356931,0.246611,0.00620873,0.00572476
105,quality,240,16,160,0,1,0.00668121,0.0472227,0.0343698,0.243944,0.00710726,0.00651362
106,smoke,120,8,80,0,1,0.00609749,0.0485987,0.0359288,0.250367,0.0069393,0.00713273
106,quality,240,16,160,0,1,0.0064862,0.050395,0.0352714,0.248879,0.00729315,0.00628831
107,smoke,120,8,80,0,1,0.00615397,0.03978,0.0351682,0.244299,0.00702649,0.00714453
107,quality,240,16,160,0,1,0.00603004,0.0466588,0.0355678,0.242715,0.00621649,0.00672487
108,smoke,120,8,80,0,1,0.0068067,0.0489721,0.035757,0.248799,0.00771613,0.00655336
108,quality,240,16,160,0,1,0.00709985,0.0500295,0.0352677,0.245671,0.00610968,0.00643643
109,smoke,120,8,80,0,1,0.00656469,0.0477642,0.0364712,0.245183,0.00664231,0.00673199
109,quality,240,16,160,0,1,0.0067651,0.0472982,0.0353906,0.247023,0.00664399,0.00722992
110,smoke,120,8,80,0,1,0.00658538,0.0503147,0.0364563,0.243538,0.00624123,0.0066941
110,quality,240,16,160,0,1,0.00635765,0.0484494,0.0351736,0.243252,0.0066881,0.00723697
111,smoke,120,8,80,0,1,0.00731362,0.0444111,0.0344643,0.244346,0.00721938,0.00719712
111,quality,240,16,160,0,1,0.00734739,0.0500291,0.0366347,0.243608,0.00660398,0.00732572
112,smoke,120,8,80,0,1,0.00719482,0.0480078,0.0368453,0.254117,0.0067253,0.00698846
112,quality,240,16,160,0,1,0.00712398,0.0448921,0.035106,0.243216,0.0061132,0.00736974
113,smoke,120,8,80,0,1,0.00639725,0.0519508,0.0347531,0.252545,0.00777418,0.00606174
113,quality,240,16,160,0,1,0.00630975,0.0443638,0.0350316,0.249953,0.00674393,0.00722422
114,smoke,120,8,80,0,1,0.0068518,0.0477728,0.0345791,0.24812,0.00789699,0.00669359
114,quality,240,16,160,0,1,0.00642279,0.0468359,0.0352429,0.254319,0.00696384,0.00755967
115,smoke,120,8,80,0,1,0.00669296,0.0448181,0.0345872,0.250235,0.00611832,0.00597131
115,quality,240,16,160,0,1,0.00644327,0.0503654,0.0346307,0.246846,0.00666197,0.00750502
116,smoke,120,8,80,0,1,0.00700369,0.0483773,0.0347439,0.248098,0.00675901,0.00671318
116,quality,240,16,160,0,1,0.00694045,0.052862,0.0350783,0.243018,0.00736816,0.00698468
117,smoke,120,8,80,0,1,0.00707985,0.050042,0.0349935,0.242716,0.0066901,0.00594704
117,quality,240,16,160,0,1,0.00724376,0.0461451,0.0353702,0.241985,0.00696639,0.00652623
118,smoke,120,8,80,0,1,0.00753038,0.0454539,0.0352991,0.237182,0.00702567,0.00661579
118,quality,240,16,160,0,1,0.00770141,0.0466774,0.0367313,0.246289,0.00675977,0.00663908
119,smoke,120,8,80,0,1,0.00673186,0.0476459,0.0355995,0.245858,0.00736358,0.00638191
119,quality,240,16,160,0,1,0.00671379,0.0467783,0.0350209,0.240915,0.00645212,0.00677852
